Close,High,Low,Open,Volume
SPY,SPY,SPY,SPY,SPY
170.12501525878906,171.325829928709,169.08983891329257,170.91175939051038,121465900
167.05258178710938,169.24715009688967,166.7461737006491,169.0815244457335,169632600
165.4791259765625,167.8807296085199,164.68410512720072,167.3589967812379,209151400
167.5412139892578,167.88075485287703,166.3569783519322,166.80416895939857,125346700
170.51422119140625,170.72954593158084,168.93248153754053,168.94903525876288,147217800
169.1477813720703,170.9448456357597,168.53495254772835,170.92827927931057,158567300
167.8227996826172,169.43768504089866,167.21826017883348,169.28033619992303,144396100
167.35072326660156,170.16639741804175,166.05053592069322,169.04012523018008,214553300
166.34039306640625,166.53915144512624,164.44395583561231,165.33833694878177,192991100
164.81658935546875,167.2927223172649,164.7006501462518,166.97803739877665,176613900
166.97808837890625,167.13543720440362,164.42741236095966,164.60960440770086,211879600
167.3341827392578,167.88075887871344,165.76899662094755,167.61574767057863,130991100
168.17889404296875,168.65921739145298,166.40667261614846,166.87042960463523,122942700
170.67987060546875,170.8123635660142,167.55777539756028,168.9324925342067,174356000
169.7440643310547,170.6798677187709,169.6115587363211,170.42313339031367,117516800
170.1416015625,170.23269759703916,168.81658326680397,169.528785181447,92009700
167.89735412597656,169.04018040750515,167.06921291271397,168.087823066826,134044600
165.7441864013672,169.1809674748212,165.55371745536436,169.0815945701993,168514300
167.2761688232422,167.53289045567897,164.53501209375062,165.94286159724774,173585400
165.17269897460938,167.4252432198437,164.90770045916094,166.10022536974702,197729700
167.21826171875,167.30935775192052,163.85601062679834,165.66964179128243,163107000
169.6364288330078,169.6447183317602,167.73999117407354,168.1126521614309,124212900
168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700
170.69639587402344,170.84546780487813,169.57841325653533,169.6529429037491,97953200
170.22439575195312,171.6239561515473,169.70266284557835,171.06081366529,125672000
169.46249389648438,170.29891174267553,169.0567002644991,169.57843312899038,87219000
171.26783752441406,171.5245592115905,169.5038931575931,170.4976724628847,96164200
171.3672332763672,171.7978701903845,170.45628564015155,171.10223469296227,91087800
173.01524353027344,173.07321947491621,171.40037085250046,172.16225917646435,97545900
173.7274627685547,173.7771492195388,172.88275519252807,173.13948958333293,93670400
174.00076293945312,174.17467816637784,173.164344804935,173.41277707706607,76968200
174.01730346679688,174.0918331373708,173.3630648834984,173.62807611633605,80652900
173.89305114746094,174.2574352250173,173.2802348683247,173.42101732802976,91462500
174.93655395507812,175.011083631322,172.85791142821907,173.47901733644892,140896400
174.91163635253906,174.91163635253906,174.30708442736932,174.68803478245675,74411100
175.40850830078125,175.60726665036412,174.5389578964423,174.83708910260347,72472300
175.2594451904297,175.76461159438662,174.91990442263014,175.284288404032,73061700
175.05247497558594,175.32576306309747,174.44792285634952,175.16841422758196,72697900
174.4561767578125,175.21806492067336,174.4064903222998,174.95305374936794,108076000
175.55760192871094,175.6155652234063,174.50585939965265,174.55554583408522,87491400
174.83712768554688,175.60730540326986,173.97586658681115,175.12698209643352,110325800
174.10008239746094,174.31540714911114,173.13115892432225,174.24086485392425,114497200
174.29058837890625,174.57215333133064,173.78542178241264,174.42308135647423,76873000
171.83929443359375,173.85996092972624,171.50804301696908,173.42932397896894,188128000
172.55140686035156,172.90750131671726,171.88061487590454,172.0379636399452,89818900
169.7523956298828,171.26789568502733,169.7109860386953,171.1850891390854,157121300
169.35484313964844,170.1829841818961,169.27202398085188,170.00906900299512,110145700
171.50802612304688,171.5742662907018,169.9345504579917,169.984236901948,93993500
170.4562530517578,172.1953414628287,169.42107686549133,171.2347075656587,162410900
172.733642578125,172.82473858898433,170.48109816090155,171.18502302994446,136099200
172.2201690673828,172.60110676504362,171.40858197224705,171.99656750962697,94510400
174.29058837890625,174.96138067468297,171.11051682508818,171.74818903558065,228808500
173.4955291748047,174.29882690791254,173.10630191705437,173.87647957216197,117917300
175.02691650390625,175.53433784337255,174.26162759227103,174.4446328421003,177715100
174.68589782714844,175.60923808051962,174.68589782714844,175.0352680996626,71784500
173.704345703125,175.0186380320636,173.6377971673957,174.56113747478216,77805300
171.15892028808594,174.14522727250312,171.11733855742628,173.91231373233074,159521700
170.75131225585938,171.6663260245403,169.79469137466845,170.49344462384173,153067200
171.14227294921875,171.31695173779872,170.4435197163953,170.63485150385748,118939000
173.23019409179688,173.52965615952493,172.15712908659208,172.17375670108467,96180400
171.7162322998047,173.10541228273007,171.65801026718879,172.4066590414967,126768700
171.10897827148438,171.70790231162295,170.11908957478775,171.68294820101997,137303600
171.72454833984375,172.17373503850223,170.85943016732784,171.0424354464049,86900900
172.8807830810547,173.39651825124892,170.70137296924554,170.83445731802203,114368200
172.42333984375,173.6544562457164,172.3900719162753,172.90580729557792,81236300
173.00564575195312,173.44651883082423,172.25699670669553,172.64796154159473,89351900
173.77084350585938,174.00375698350715,172.34840853114136,172.8391895952683,85548900
174.71922302246094,174.76081745509825,173.82084928025708,174.02048224837404,72722900
173.92892456054688,175.2099616006904,173.87901633430343,174.57775688738096,74436600
174.26165771484375,174.444662996307,173.10540399623537,173.72928217590538,75099900
175.04359436035156,175.55101584547447,174.644315833761,174.72750467768364,99529300
174.99371337890625,175.50113494303832,174.5112459332694,174.7108915740687,68934900
172.98062133789062,174.04537241941927,172.19869198583558,173.8041451072998,191113200
174.56118774414062,174.89391782576985,173.8208525236024,173.9040286975902,92189500
174.35317993164062,175.401290821746,174.05371786406258,175.24323963429708,72559800
175.20994567871094,175.39295095352963,173.77085759101533,174.69419777111565,78264600
175.65081787109375,176.29965013641794,174.6941970850558,174.81065383286185,102585900
176.05845642089844,176.32465059604635,175.60926961638245,176.06678292189486,61327400
175.32644653320312,176.74888198105475,175.13511471141135,176.62411139539645,79358100
175.8837890625,175.93369730038367,174.12861077084412,175.30150513246107,86863500
175.16004943847656,175.7589608327745,174.35316595144636,174.99367176429075,125684900
173.4048614501953,174.9770339137259,172.7061082608666,174.58606924936552,161304900
175.28482055664062,175.32641497531887,174.08697237858064,174.1867888291408,103399700
175.78396606445312,176.366249972887,175.60096073711145,175.70909101756808,70927200
173.77084350585938,175.90035810451877,173.62943265820414,175.5426613898816,113326200
173.0554656982422,174.6276380453887,171.9907147273087,174.31986223603798,135060200
173.74595642089844,174.17020182035276,172.6229830117935,172.95571305311998,88244900
176.03341674804688,176.23306228237632,175.3346764171398,175.41786522965143,155877300
175.19332885742188,176.25808003936282,175.11846651482492,175.99189859029525,75708100
174.6692657470703,175.20996783389103,173.53796603824514,174.36148987906336,119727600
174.70257568359375,175.7007784900197,174.46966211852228,175.07690014939882,94667900
176.5242462158203,176.61574885099893,175.44285489811853,175.71736280365437,95934000
176.7156219482422,176.8570328492495,176.23315450742103,176.7156219482422,76510100
177.2646484375,177.51418963474575,176.4827188385617,176.54926738877327,74549700
177.20639038085938,177.6555898624759,176.9235685993002,177.38108188878502,72114600
177.0816192626953,177.8302681393417,176.76551686494682,177.30620630998737,76857500
177.59730529785156,177.80526467173664,176.77378160784684,176.9401592612212,64764600
177.17308044433594,177.63058093249938,177.10653191866064,177.21466216665377,57433500
175.26821899414062,177.10658608628512,174.8523001010872,176.68234069195475,124308600
176.9318389892578,177.1647524807789,175.31807216026635,175.72567711684493,93214000
176.7322235107422,176.8403537684896,176.04179677401598,176.6240805601602,74974600
175.63418579101562,176.70725068227623,175.36800436620842,176.66566895762463,124919600
175.99188232421875,176.63238811990755,175.20162647150613,176.29965816611687,93338800
175.8172149658203,176.50764177283756,174.9105149284553,175.5343931970188,91531000
176.2830352783203,176.90691352294607,175.79225410549518,176.34958381422064,87820900
174.79403686523438,176.2331123420793,174.47793451929695,175.57596623076313,151882800
174.49461364746094,175.16840021447948,173.8374546971027,174.6443383544263,121704700
173.42152404785156,174.53619623751186,173.34666169944614,174.38645884786473,89063300
173.3965301513672,173.93723216019964,172.76433819958618,173.3965301513672,105034700
175.47610473632812,175.8587555420628,174.10357804288222,174.16180006317958,134551300
176.04177856445312,176.424416715982,175.68408183028492,175.9169953206503,73876400
174.6942138671875,175.91701618303716,174.41970592966666,175.21827562907586,135382400
173.94549560546875,174.22831723679104,172.84746429398726,173.55453106512275,124384200
174.89385986328125,174.977048702538,173.6211493182285,173.795828110699,85308200
175.1766815185547,175.78393212058168,174.15352479896114,175.1766815185547,126708600
176.99844360351562,177.46427073417405,175.20999743555834,175.7756410391186,165867900
176.21267700195312,176.8312356588325,175.83653181049735,176.7560091714565,130478700
177.1154327392578,177.7005488974588,176.90646177171635,177.13215398794233,70696000
177.2407684326172,177.57512955460172,176.8479148404659,177.32436190175648,68476800
175.95355224609375,177.34947675949232,175.92847675070024,176.97333157401434,92307300
175.41854858398438,176.58042638230515,175.34332211431538,176.45504893285684,97107400
175.3852081298828,176.020475454762,174.83352156232553,175.7780619229963,104174800
171.70730590820312,175.39355775620155,171.63207940222244,173.90568511654945,202621300
172.0667266845703,173.2954771862415,171.59026668186704,173.245313432343,182925100
173.44593811035156,173.8889556307009,172.66020507287817,173.63818786805945,135979900
173.2870635986328,174.0895176357759,172.86912171054405,173.92234343145523,104373700
172.79391479492188,173.57128067258205,171.79921094792178,171.99982766856422,117975400
173.880615234375,174.005992748395,170.61230532007585,172.99458012308924,173820200
170.9633026123047,172.82731980619712,170.72925618233498,172.5431223918873,164020100
171.27259826660156,173.32052393269564,171.1639420376246,173.06138922156467,144113100
173.42919921875,173.847141195784,171.31441383532407,173.27037922674475,129456900
175.3433837890625,175.45204003194522,174.6495985640824,174.69139531345752,106069400
176.10401916503906,176.4133048903453,175.2430597428105,175.30157773974665,81709600
176.0454864501953,176.6055270618989,175.56902656518767,176.14578842406027,97914100
177.4582061767578,177.4582061767578,176.8563685732044,177.09876936275072,106683300
177.6085968017578,177.66711479342928,177.0402019061939,177.4497768295928,89030000
177.70054626464844,178.19371467964135,177.3829190718028,177.83429074299156,70446800
176.99838256835938,177.82591206552033,176.69746391071664,177.5667773913658,77965000
176.6807403564453,177.01510150199903,176.2795197363544,176.31294947362298,88667900
175.68606567382812,176.91481598309016,175.32664173192563,176.8145140001547,90509100
173.86387634277344,175.84491739079107,173.52952783625315,175.7864121417101,117755000
172.8524169921875,173.4876968857565,172.40939956881726,172.9778072233487,132361100
174.97555541992188,175.11765413377742,172.86077045003267,173.68828723981355,123544800
176.17926025390625,176.4049397326802,174.9588640988521,175.1009628370131,105791300
176.2210693359375,176.38824358344127,175.05082409425617,175.66938284005533,91304400
175.95355224609375,176.74763936089735,175.66935479525043,176.72256386550384,103266900
175.3600311279297,175.97858964105714,174.40712424556037,175.92008441599754,113965700
175.01736450195312,175.74457936960462,174.53255033866034,175.28484070143256,81820800
175.59414672851562,176.63063465904023,175.30993649328377,175.91177395501018,85786800
174.1563720703125,175.88664467779424,173.57124328312673,175.77797571653295,116030800
173.82205200195312,174.14804620817122,172.9192958721393,173.99759323049022,117858000
176.01205444335938,176.09563516897882,174.9337572199016,174.9337572199016,80270700
174.42384338378906,175.09255286876916,173.66318618519202,174.67461103497817,126081400
174.63284301757812,174.81673847505203,171.6570987123818,173.11989537119487,172123700
174.41555786132812,175.1594941084162,173.87222561057453,174.47406310873316,89383300
175.05075073242188,175.12597719908536,174.08112264685198,174.22322133540706,72786500
176.02880859375,176.02880859375,173.99761659485281,174.45735534601607,79072600
175.51890563964844,176.10402184503204,175.284859157495,175.75295212180188,71692700
174.13133239746094,175.543965411561,173.32052403028706,174.77495378843668,172946000
170.49525451660156,174.10626663748775,170.43673651645807,172.6183941900729,194327900
165.3629150390625,170.4701662267819,165.10379306833215,168.62285717821266,346588500
158.4000244140625,165.07037543288203,152.46524267191543,156.71990209767756,507244300
156.5360107421875,163.37353619823517,156.243446220749,163.35681494583278,369833100
162.5460205078125,162.82185102458152,157.4554768705119,160.55661235634838,339257000
166.5665283203125,166.69190575831607,163.17284294958677,164.68579022283006,274143900
166.57493591308594,167.04302883764254,165.43813334434464,165.92294751751413,160414400
165.22915649414062,166.44955250791443,164.67747010073978,165.5969474230745,163298800
160.29745483398438,162.8051064676503,159.42812845841777,161.42589041638857,256000400
163.340087890625,163.3818846395931,160.84079025542636,162.67973241882933,160269300
163.45706176757812,165.54677103907727,162.9638934406019,164.0505320581229,152087800
160.98287963867188,162.0444557787715,160.16371697574704,161.2002176188391,207081000
165.02859497070312,165.17906074402916,163.13950145937872,163.78313580025795,116025700
162.82179260253906,166.73373524623284,162.45401446061655,166.6083577835972,149347700
163.70787048339844,164.85302736988268,162.37045111243074,162.62957308634384,158611100
164.45181274414062,164.51868499062053,162.60450360454212,163.3150100631362,119691200
163.84156799316406,164.67745173677312,163.35675389132194,164.62730075288837,79452000
165.88951110839844,166.3325285195203,163.79980152590844,164.3431209155258,113806200
167.3272247314453,167.51948720226258,165.84771948467198,166.19043492787617,99581600
166.9510955810547,169.59249188964412,166.57495035938427,167.19350906595068,276046600
164.22280883789062,166.9367457997383,163.8111046994991,164.44127665422693,223657500
165.07154846191406,166.0966169997985,164.0212612353748,165.0547402764405,105726200
