Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2015-01-02,39.76768112182617,40.32898703317074,39.58058131421902,39.68263604966488,27913900
2015-01-05,39.4019889831543,39.74217255290114,39.333950322647794,39.43600506914566,39673900
2015-01-06,38.823673248291016,39.75918211807027,38.730121712460715,39.44451142467352,36447900
2015-01-07,39.31694412231445,39.51255042211555,38.687602678478235,39.10432815588775,29114100
2015-01-08,40.47357940673828,40.6096535086197,39.73367668052447,39.7591895607952,29645200
2015-01-09,40.133384704589844,40.66917779564242,39.88675267344921,40.49058118004552,23944200
2015-01-12,39.631614685058594,40.43105279193998,39.42750517489556,40.32899479259629,23651900
2015-01-13,39.427513122558594,40.7457317259793,39.17237456129375,39.946296702212706,35270600
2015-01-14,39.08732223510742,39.325454346424465,38.79816436328583,39.08732223510742,29719600
2015-01-15,38.6790885925293,39.4445072183706,38.61955639321514,39.30843315647232,32750800
2015-01-16,39.32544708251953,39.3594631684852,38.41544784237261,38.53451549816908,35695300
2015-01-20,39.4530029296875,39.67412526591057,38.75562308946569,39.376461081650426,36161900
2015-01-21,39.05329513549805,39.240398204855296,38.679092241045396,39.07030480037251,39081100
2015-01-22,40.08237075805664,40.09087397090556,39.189384172830145,39.44452273371446,35898000
2015-01-23,40.12489318847656,40.30348985612471,39.801715948735044,40.277976973392924,26211600
2015-01-26,39.980308532714844,40.08236654174321,39.32545415155975,39.97180532076038,42525500
2015-01-27,36.280784606933594,36.74003582526155,35.81303017830853,36.52741988095363,169164000
2015-01-28,35.03059768676758,36.391341516488396,35.005084814621924,36.34881898149182,84507100
2015-01-29,35.727970123291016,35.82152162715218,34.69040686183457,34.809471232472134,63585300
2015-01-30,34.35873794555664,35.362285463623955,34.31621216122655,35.33676934417353,78004900
2015-02-02,35.107147216796875,35.18368909421626,34.214160809745515,34.520328319423044,50352500
2015-02-03,35.37929153442383,35.65994613577052,34.91153710977449,35.40480765362196,52082400
2015-02-04,35.58340072631836,35.898071381517944,35.17517854664449,35.66844579715236,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.068172454833984,36.3913496325542,35.84705327698048,36.29779808814081,34616600
2015-02-09,36.0256462097168,36.348823354239514,35.898075345118876,35.92359146459557,31381100
2015-02-10,36.229766845703125,36.37434741967707,35.87257350576076,36.34883453661343,29670700
2015-02-11,36.042667388916016,36.272293071992095,35.89808681323275,36.272293071992095,38262500
2015-02-12,36.646488189697266,36.646488189697266,36.15321758917554,36.280788467037965,33268800
2015-02-13,37.309844970703125,37.309844970703125,36.69751325765485,36.89311953695962,40264900
2015-02-17,37.32697677612305,37.68671200419879,36.99293272060279,37.66101756429336,33695700
2015-02-18,37.28416061401367,37.42977011184452,37.16424883188886,37.36981422078212,27111700
2015-02-19,37.258460998535156,37.284155443326796,36.87302798990778,36.98437602958915,27603400
2015-02-20,37.566795349121094,37.58392606260128,37.07858145065915,37.267012764242146,29721100
2015-02-23,37.8151969909668,37.849455160721796,37.38693882919979,37.42976399190639,32518800
2015-02-24,37.763816833496094,37.94368453442106,37.61820731321052,37.815209005482444,25271700
2015-02-25,37.67815399169922,37.763804315934465,37.51541380136165,37.64389255506495,29759800
2015-02-26,37.738101959228516,37.88370813336789,37.592492517739394,37.67814609136528,28957300
2015-02-27,37.558231353759766,37.85801396254465,37.39549446374495,37.79805809425763,33807700
2015-03-02,37.58393096923828,37.8494488944711,37.3012790609389,37.40406008788871,31924000
2015-03-03,37.07002639770508,37.54111300173783,36.907289468262306,37.30985319630827,31748600
2015-03-04,36.8815803527832,37.010055793127954,36.72740721049009,36.83875193865236,25748700
2015-03-05,36.924407958984375,37.03575596191245,36.67601751681771,36.890146532337354,23193500
2015-03-06,36.28201675415039,36.9244037270855,36.10214918589235,36.83018644827916,36248800
2015-03-09,36.70172119140625,36.94154797095327,36.136420578835185,36.136420578835185,32108000
2015-03-10,35.99937057495117,36.581801783328004,35.99937057495117,36.27345546508737,39159700
2015-03-11,35.95655059814453,36.29059140186181,35.836638849871676,36.23920251965921,32215300
2015-03-12,35.13429260253906,35.67389868786478,34.99725015025711,35.39981378330087,59992500
2015-03-13,35.44263458251953,35.51972115666661,34.78311684089436,34.86020341504144,58007700
2015-03-16,35.59682083129883,35.66534044056343,35.356994030496224,35.51973422878203,35273500
2015-03-17,35.716732025146484,35.828080064184924,35.2456486917,35.43408006466827,31673400
2015-03-18,36.40193176269531,36.68458362470984,35.39980956249706,35.48545985970482,44194800
2015-03-19,36.22207260131836,36.47902682004379,36.16211672586076,36.1963748923007,33879100
2015-03-20,36.7274169921875,36.81306730856211,36.39337618403632,36.45333205896858,71904500
2015-03-23,36.710289001464844,36.941548793669284,36.64176612939669,36.72741971948188,26246100
2015-03-24,36.74454116821289,36.975797634729524,36.61606244917072,36.64175688603933,25513300
2015-03-25,35.511165618896484,36.77024564690157,35.49403490052255,36.76167865403938,43469900
2015-03-26,35.29702377319336,35.639631482048685,35.04863334764071,35.30559076295683,37495600
2015-03-27,35.09146499633789,35.485461610693925,34.97155326739036,35.219940448489,34401400
2015-03-30,35.082916259765625,35.579697415142064,35.04009108676624,35.20282805110442,35049700
2015-03-31,34.82594299316406,35.14285302163694,34.723161980455195,34.92872400587293,34887200
2015-04-01,34.87733840942383,34.91159657197853,34.526166921277266,34.77455411971035,36865300
2015-04-02,34.5090446472168,34.894477659544535,34.36343516818161,34.8259547829749,37487500
2015-04-06,35.58823776245117,35.78523604270771,34.41481180294522,34.55185422692147,39223700
2015-04-07,35.571128845214844,35.89660602683192,35.382697438890105,35.63965173286101,28809400
2015-04-08,35.47689437866211,35.70815411177948,35.15142062154836,35.51115580594236,24753400
2015-04-09,35.52829360961914,35.6482053616801,35.33129526446898,35.33129526446898,25723900
2015-04-10,35.733863830566406,35.93086220263949,35.468342580893655,35.656777226942104,28022000
2015-04-13,35.76811981201172,36.02507731992688,35.45120969089357,35.459776683744316,30276700
2015-04-14,35.67390060424805,35.999374403808346,35.45120456523315,35.802376072279756,24244400
2015-04-15,36.196380615234375,36.367684543919225,35.69960281613406,35.768122427197596,27343600
2015-04-16,36.1107292175293,36.26490242205492,35.81951352757541,35.93086156803293,22509700
2015-04-17,35.648193359375,35.75097762712122,35.254196801728426,35.69101850392804,42387600
2015-04-20,36.75310516357422,36.97579790856706,35.69959076861469,35.742415919496054,46057700
2015-04-21,36.5218620300293,36.95868726269924,36.42764469485142,36.83020848430195,26013800
2015-04-22,36.82164001464844,36.94155178312104,36.44477072247666,36.54755177154595,25064300
2015-04-23,37.12143325805664,37.35269315508552,36.65891346399889,36.73600009634185,46309500
2015-04-24,41.00142288208008,41.232682610388736,39.099959450457995,39.10852317342522,130933700
2015-04-27,41.138484954833984,41.22413856213277,40.444708706144496,40.45327243319886,59248200
2015-04-28,42.10633087158203,42.149156022630294,40.85581816381504,40.92433775202234,60730800
2015-04-29,42.02069091796875,42.23481999329346,41.54104061299524,41.72947524483312,47804600
2015-04-30,41.660945892333984,42.43181175054036,41.626684461447056,41.71233803866437,64725500
2015-05-01,41.67806625366211,41.866500809377364,41.4553735429206,41.609546676260514,38937300
2015-05-04,41.3183479309082,41.8579508497833,41.266955776436596,41.42969269790442,34039500
2015-05-05,40.770172119140625,41.249822394517054,40.52178489027712,40.95860673935104,50369200
2015-05-06,39.639564514160156,40.91577495533703,39.4168717632563,40.744471079915016,52433000
2015-05-07,39.99930953979492,40.33335035461347,39.536789980499925,39.631007290802636,32971700
2015-05-08,40.898651123046875,41.095649469358584,40.701652776735166,40.72734721879967,35364900
2015-05-11,40.57316589355469,41.03568536204501,40.57316589355469,40.72733904971813,24609400
2015-05-12,40.556034088134766,40.83868595594244,39.75947389184883,40.12777605861972,29928300
2015-05-13,40.79587936401367,41.38687453733519,40.74448720084838,41.27552648415254,34184600
2015-05-14,41.72946548461914,41.815115787775895,41.13846728384878,41.13846728384878,32980900
2015-05-15,41.36973190307617,41.892207309071495,41.15560285257645,41.857945876827536,28642700
2015-05-18,41.121341705322266,41.30121259217463,40.77873718255832,41.09564726463623,24136500
2015-05-19,41.01789093017578,41.21616952988955,40.67305658110066,41.00064888386362,28574800
2015-05-20,41.01789093017578,41.319618519178455,40.75064414521336,40.854093134502264,25047900
2015-05-21,40.87995910644531,41.03513425192966,40.52650533919417,40.75926805742069,22410700
2015-05-22,40.431678771972656,40.8196133448459,40.362710579453775,40.776509868813804,25720600
2015-05-26,40.1644287109375,40.41443345572515,39.819594353396994,40.37132998317863,29581900
2015-05-27,41.04375457763672,41.181687667018245,40.19029132618688,40.362708510059846,27335600
2015-05-28,40.90583038330078,41.39721732661194,40.85410423031567,40.94893386649589,19283700
2015-05-29,40.39719009399414,41.009267934549435,40.16442740351874,40.8885768999142,36519600
2015-06-01,40.716156005859375,41.18168134426757,40.19028515564832,40.56960355964777,28837300
2015-06-02,40.44892883300781,40.81962474990873,40.19030461597086,40.45755150377407,21498300
2015-06-03,40.388572692871094,41.155829049036406,40.36271126452978,40.836856086099274,28002200
2015-06-04,39.966148376464844,40.655813773110275,39.828215297135756,40.336844143771266,27745500
2015-06-05,39.77649688720703,40.10408924747941,39.5178727242908,39.923052662296506,25438100
2015-06-08,39.42303466796875,40.02649311146772,39.37130853101148,39.91442145901895,22121600
2015-06-09,39.354061126708984,39.60406251227664,39.19026337329409,39.44888742408528,24406100
2015-06-10,40.18166732788086,40.37132653719778,39.38854968866961,39.47475991498816,28417400
2015-06-11,40.035125732421875,40.448925099200586,39.76788215787304,40.22478500874817,27347800
2015-06-12,39.62995147705078,40.06099292173975,39.56960593788114,39.84547219939526,23931000
2015-06-15,39.207515716552734,39.35407146660989,38.81095851524247,39.18165429125375,33254500
2015-06-16,39.509254455566406,39.862708255499975,39.052348356687844,39.09545183695589,27070300
2015-06-17,39.62995147705078,39.716158450554474,39.1040803883566,39.42305013662257,28704100
2015-06-18,40.27649688720703,40.34546177960037,39.80234886444838,39.84545562185108,32658300
2015-06-19,39.74201202392578,40.37133530264665,39.64718568726244,40.336851204632026,63837000
2015-06-22,39.85407638549805,40.276498287207055,39.79373086933733,39.9402866147162,20318100
2015-06-23,39.57822036743164,39.89719007578539,39.32821557153432,39.76787963171027,25896500
2015-06-24,39.3454475402832,39.87131842843163,39.26785997828452,39.37130896475477,34890900
